Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,University of Tokyo,Hitachi,SR2201/1024,Japan,1996,1024,220.4,307.2,138240,34560,PA-RISC,PA-RISC HARP-1E,150,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
2,National Aerospace Laboratory of Japan,Fujitsu,Numerical Wind Tunnel,Japan,1996,166,170,279.58,42000,13800,Fujitsu,Fujitsu,105.3,Fujitsu VPP,UXP/V,MPP,Research,Aerospace,Crossbar,Full distributed crossbar,Eastern Asia,Asia
3,Sandia National Laboratories,Intel,XP/S140,United States,1993,3680,143.4,184,55700,20500,Intel i860,Intel i860 Intel 80860,50,intel Paragon,OSF/1,MPP,Research,Not Specified,N/A,2-D mesh (torus),North America,Americas
4,Oak Ridge National Laboratory,Intel,XP/S-MP 150,United States,1995,3072,127.1,154,86000,17800,Intel i860,Intel i860 Intel 80860,50,intel Paragon,OSF/1,MPP,Research,Not Specified,N/A,2-D mesh (torus),North America,Americas
5,Japan Atomic Energy Research Institute,Intel,XP/S-MP 125,Japan,1996,2502,103.5,125.1,0,0,Intel i860,Intel i860 Intel 80860,50,intel Paragon,OSF/1,MPP,Research,Not Specified,N/A,2-D mesh (torus),Eastern Asia,Asia
6,Government,Cray Inc.,T3D MC1024-8,United States,1994,1024,100.5,153.6,81920,10224,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Classified,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
7,National Lab. for High Energy Physics,Fujitsu,VPP500/80,Japan,1994,80,98.9,128,32640,10050,Fujitsu,Fujitsu,100,Fujitsu VPP,UXP/V,MPP,Research,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
8,Cornell Theory Center,IBM,SP2/512,United States,1994,512,88.4,136.19,73500,20150,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,N/A,N/A,North America,Americas
9,IBM,IBM,SP2/512,United States,1995,512,88.4,136.19,73500,20150,Power,POWER2,66.5,IBM SP,AIX,MPP,Vendor,Not Specified,N/A,N/A,North America,Americas
10,HWW/Universitaet Stuttgart,NEC,SX-4/32,Germany,1996,32,66.53,64,15360,1792,NEC,NEC,250,NEC Vector,EWS-UX/V,SMP,Industry,Information Processing Service,Crossbar,Multi-stage crossbar,Western Europe,Europe
